variant_code,variant,description,seed,split,n_eval,wl_token_count,system_token_count,feature_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,nll
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,5,test,65,8168,0,8168,1.3460353442996185,0.8577144775900329,0.9050439276286478,-1.63029602944666,0.9692307692307692,1.6251725758997313,274.3424420539034
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,6,train,577,8168,0,8168,0.02637265493352491,0.012249399807317004,0.9999506886324939,0.6556492914254665,1.0,0.2051761913175462,283.27137508276473
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,6,valid,64,8168,0,8168,1.1384858737170525,0.775100534727755,0.9296278805546188,-1.4758324169990487,0.9375,1.3898231482456418,284.3983089992688
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,6,test,65,8168,0,8168,1.1975271750406016,0.8079726174640819,0.9308312813053573,-1.5406979041555917,0.9538461538461539,1.5019798477359174,283.27137508276473
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,7,train,577,8168,0,8168,0.024131570280960354,0.010914412949627392,0.9999627696120932,0.7152451035415739,1.0,0.19335828207894493,265.2283798911654
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,7,valid,64,8168,0,8168,0.8863239886849411,0.6417975564746491,0.9073252426113323,-1.396636981774595,0.96875,1.4786507546121441,256.01757766825483
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,7,test,65,8168,0,8168,0.8138381327215634,0.611231426088153,0.9072159718651495,-1.3906920386256147,0.9538461538461539,1.4113840220962623,265.2283798911654
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,8,train,577,8168,0,8168,0.024721006585174125,0.011291864669683759,0.9999588270149409,0.7011222152763144,1.0,0.19608325316983188,274.99403628034145
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,8,valid,64,8168,0,8168,0.980797658766677,0.6647718364619246,0.9135734294955639,-1.39863064054529,0.953125,1.4677577079833215,267.4133528190133
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,8,test,65,8168,0,8168,0.9964689503698008,0.6976147852492444,0.9302916438423113,-1.4228230104869424,0.9846153846153847,1.4811156241952126,274.99403628034145
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,9,train,577,8168,0,8168,0.02664139163633156,0.01274383530360706,0.9999522810707859,0.6278848479548019,1.0,0.21098352170218526,273.5961155447009
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,9,valid,64,8168,0,8168,1.2498629663517598,0.902097752073415,0.8813104513767533,-1.6821732228495374,0.921875,1.5447551285568926,251.35131222143394
